   170/299     2.01G   0.03815      0.04  0.007459    0.0856        93       640    0.9735    0.8396    0.8465     0.659   0.03089   0.01462   0.00502
   171/299     2.01G   0.03922   0.04194  0.007918   0.08907       135       640    0.9657    0.8409    0.8454    0.6458   0.03111   0.01471  0.004946
   172/299     2.01G   0.04005   0.04184  0.007726   0.08962       181       640    0.9685    0.8392    0.8454    0.6505    0.0302   0.01443  0.004919
   173/299     2.01G   0.04169   0.04274  0.007398   0.09183       176       640    0.9747    0.8379    0.8454    0.6414    0.0317    0.0147   0.00496
   174/299     2.01G   0.03934   0.03751  0.007506   0.08436        80       640    0.9781    0.8345    0.8454    0.6529   0.03078   0.01476   0.00486
   175/299     2.01G   0.03946   0.04032  0.007377   0.08716       192       640    0.9662    0.8413    0.8454    0.6503   0.03155   0.01464  0.004779
   176/299     2.01G   0.04281    0.0421  0.007316   0.09223        66       640    0.9743    0.8412    0.8454    0.6479   0.03143   0.01472  0.004805
   177/299     2.01G   0.03976    0.0394  0.007869   0.08703        76       640    0.9838    0.8386    0.8454    0.6311   0.03134   0.01458  0.004757
   178/299     2.01G   0.03934   0.04209  0.008199   0.08962       126       640    0.9833    0.8359    0.8454    0.6318   0.03135    0.0148  0.004755
   179/299     2.01G   0.03784   0.04229   0.00713   0.08727       179       640    0.9831    0.8363    0.8662    0.6425   0.03143   0.01503  0.004708
   180/299     2.01G   0.03886   0.04331  0.007494   0.08966       132       640    0.9829    0.8378    0.8455    0.6238   0.03173   0.01506  0.004778
   181/299     2.01G   0.04025   0.04258  0.006887   0.08971       208       640     0.971    0.8381    0.8454    0.6261   0.03138   0.01522  0.004694
   182/299     2.01G   0.03791   0.03898  0.008016   0.08491        94       640    0.9642    0.8388    0.8454    0.6452   0.03041   0.01514  0.004649
   183/299     2.01G    0.0385   0.03738  0.007993   0.08387       174       640    0.9695    0.8389    0.8454    0.6512   0.03081   0.01556  0.004652
   184/299     2.01G    0.0392   0.03998  0.007292   0.08647        70       640     0.971    0.8405    0.8454    0.6461     0.031   0.01499  0.004652
   185/299     2.01G   0.04177   0.04315  0.007901   0.09282       167       640    0.9816    0.8382    0.8454    0.6437   0.02995    0.0144  0.004612
   186/299     2.01G   0.03805   0.03946  0.007671   0.08519       101       640    0.9744    0.8382    0.8454    0.6503   0.03038   0.01447  0.004498
   187/299     2.01G   0.03797   0.04136  0.006989   0.08632       110       640    0.9706    0.8388    0.8454    0.6511   0.03076   0.01421  0.004433
   188/299     2.01G   0.04005   0.03942  0.007489   0.08695       140       640    0.9735    0.8369    0.8462    0.6725   0.03055    0.0143  0.004493
   189/299     2.01G   0.04026   0.04319  0.007519   0.09097       115       640    0.9808    0.8349    0.8463      0.67   0.03017   0.01411  0.004503
   190/299     2.01G   0.03726   0.04077  0.007542   0.08558       127       640    0.9817    0.8349    0.8465    0.6682   0.02978   0.01388  0.004547
   191/299     2.01G   0.03811   0.04062  0.006967   0.08571       118       640    0.9816    0.8356    0.8466    0.6613   0.03025   0.01413  0.004513
   192/299     2.01G   0.03901   0.03937  0.007442   0.08582        93       640    0.9823    0.8349    0.8465    0.6623   0.03006   0.01377  0.004533
   193/299     2.01G   0.03793   0.03945  0.007283   0.08466        31       640    0.9799    0.8359    0.8726    0.6737   0.03003   0.01388  0.004457
   194/299     2.01G   0.03819   0.03963  0.007036   0.08486       104       640    0.9845    0.8348    0.8463    0.6686   0.03047   0.01369  0.004348
   195/299     2.01G   0.03799   0.04103  0.007103   0.08612        60       640     0.988     0.834    0.8465    0.6647   0.02991    0.0133  0.004299
   196/299     2.01G   0.03772   0.04039  0.007304   0.08541        49       640    0.9892    0.8348    0.8464    0.6715   0.02969     0.013  0.004307
   197/299     2.01G   0.03824   0.03984  0.007667   0.08574        56       640    0.9911    0.8353    0.8465    0.6583   0.03026   0.01368  0.004363
   198/299     2.01G     0.038   0.03991  0.007313   0.08522        75       640    0.9923     0.835    0.8466    0.6761    0.0295   0.01349  0.004389
   199/299     2.01G   0.03774    0.0416  0.006932   0.08628       128       640    0.9925    0.8342    0.8468    0.6937   0.02852   0.01331  0.004459
   200/299     2.01G   0.03791   0.04253  0.006937   0.08738        94       640    0.9871    0.8371    0.8479    0.6678   0.02878   0.01328  0.004528
   201/299     2.01G   0.03885   0.04308  0.007158   0.08909       115       640    0.9922    0.8368    0.8479     0.676   0.02912   0.01388   0.00452
   202/299     2.01G   0.03722   0.03914  0.007105   0.08347        25       640    0.9834    0.8376    0.8473    0.6845   0.02862   0.01318  0.004436
   203/299     2.01G   0.03809   0.04271  0.007271   0.08807       127       640    0.9778    0.8378    0.8469    0.6851   0.02864   0.01329   0.00451
